article_id,authors,author_name
2001.00081,"Patrick Gage Kelley, Yongwei Yang, Courtney Heldreth, Christopher
  Moessner, Aaron Sedley, Andreas Kramm, David T. Newman, and Allison Woodruff","Patrick Gage Kelley, Yongwei Yang, Courtney Heldreth, Christopher
  Moessner, Aaron Sedley, Andreas Kramm, David T. Newman,"
2001.00081,"Patrick Gage Kelley, Yongwei Yang, Courtney Heldreth, Christopher
  Moessner, Aaron Sedley, Andreas Kramm, David T. Newman, and Allison Woodruff",Allison Woodruff
2001.00082,"Naveen Mohan, Per Roos, Johan Svahn, Martin T""orngren, Sagar Behere","Naveen Mohan, Per Roos, Johan Svahn, Martin T""orngren, Sagar Behere"
2001.00083,Nanao Kita,Nanao Kita
2001.00084,Ravi Goyal and Victor De Gruttola,Ravi Goyal
2001.00084,Ravi Goyal and Victor De Gruttola,Victor De Gruttola
2001.00087,"Yu Luo, Lina Pu","Yu Luo, Lina Pu"
2001.00088,"Andrew Perrault, Fei Fang, Arunesh Sinha, Milind Tambe","Andrew Perrault, Fei Fang, Arunesh Sinha, Milind Tambe"
2001.00089,"Debjani Saha, Candice Schumann, Duncan C. McElfresh, John P.
  Dickerson, Michelle L. Mazurek, Michael Carl Tschantz","Debjani Saha, Candice Schumann, Duncan C. McElfresh, John P.
  Dickerson, Michelle L. Mazurek, Michael Carl Tschantz"
2001.0009,"Somali Chaterji, Parinaz Naghizadeh, Muhammad Ashraful Alam, Saurabh
  Bagchi, Mung Chiang, David Corman, Brian Henz, Suman Jana, Na Li, Shaoshuai
  Mou, Meeko Oishi, Chunyi Peng, Tiark Rompf, Ashutosh Sabharwal, Shreyas
  Sundaram, James Weimer, Jennifer Weller","Somali Chaterji, Parinaz Naghizadeh, Muhammad Ashraful Alam, Saurabh
  Bagchi, Mung Chiang, David Corman, Brian Henz, Suman Jana, Na Li, Shaoshuai
  Mou, Meeko Oishi, Chunyi Peng, Tiark Rompf, Ashutosh Sabharwal, Shreyas
  Sundaram, James Weimer, Jennifer Weller"
2001.00098,"Abbas Kazemipour, Brett W. Larsen and Shaul Druckmann","Abbas Kazemipour, Brett W. Larsen"
2001.00098,"Abbas Kazemipour, Brett W. Larsen and Shaul Druckmann",Shaul Druckmann
2001.001,"Walid Shalaby, Adriano Arantes, Teresa GonzalezDiaz, Chetan Gupta","Walid Shalaby, Adriano Arantes, Teresa GonzalezDiaz, Chetan Gupta"
2001.00102,"Baoxiang Wang, Shuai Li, Jiajin Li, Siu On Chan","Baoxiang Wang, Shuai Li, Jiajin Li, Siu On Chan"
2001.00103,"Farid Na""it-Abdesselam, Ahmad Alsharoa, Mohamed Selim, Daji Qiao,
  Ahmed E. Kamal","Farid Na""it-Abdesselam, Ahmad Alsharoa, Mohamed Selim, Daji Qiao,
  Ahmed E. Kamal"
2001.00106,"Sangdon Park, Osbert Bastani, Nikolai Matni, Insup Lee","Sangdon Park, Osbert Bastani, Nikolai Matni, Insup Lee"
2001.00111,Yoh-ichi Mototake,Yoh-ichi Mototake
2001.00112,"Soheil Abbasloo, H. Jonathan Chao","Soheil Abbasloo, H. Jonathan Chao"
2001.00116,"Fei Zuo, Qiang Zeng","Fei Zuo, Qiang Zeng"
2001.00119,"Simone Parisi, Davide Tateo, Maximilian Hensel, Carlo DEramo, Jan
  Peters, Joni Pajarinen","Simone Parisi, Davide Tateo, Maximilian Hensel, Carlo DEramo, Jan
  Peters, Joni Pajarinen"
2001.00121,"Sensong An, Bowen Zheng, Mikhail Y. Shalaginov, Hong Tang, Hang Li, Li
  Zhou, Jun Ding, Anuradha Murthy Agarwal, Clara Rivero-Baleine, Myungkoo Kang,
  Kathleen A. Richardson, Tian Gu, Juejun Hu, Clayton Fowler and Hualiang Zhang","Sensong An, Bowen Zheng, Mikhail Y. Shalaginov, Hong Tang, Hang Li, Li
  Zhou, Jun Ding, Anuradha Murthy Agarwal, Clara Rivero-Baleine, Myungkoo Kang,
  Kathleen A. Richardson, Tian Gu, Juejun Hu, Clayton Fowler"
2001.00121,"Sensong An, Bowen Zheng, Mikhail Y. Shalaginov, Hong Tang, Hang Li, Li
  Zhou, Jun Ding, Anuradha Murthy Agarwal, Clara Rivero-Baleine, Myungkoo Kang,
  Kathleen A. Richardson, Tian Gu, Juejun Hu, Clayton Fowler and Hualiang Zhang",Hualiang Zhang
2001.00127,"Kai Jiang, XiaoLong Qin","Kai Jiang, XiaoLong Qin"
2001.00129,"Fenglin Ding, Wu Guo, Lirong Dai, Jun Du","Fenglin Ding, Wu Guo, Lirong Dai, Jun Du"
2001.00132,"Aravind Sankar, Xinyang Zhang, Adit Krishnan, Jiawei Han","Aravind Sankar, Xinyang Zhang, Adit Krishnan, Jiawei Han"
